description,name
Radnorshire Wildlife Trust is the largest voluntary organisation working in our county on all aspects of nature conservation. ,Radnorshire Wildlife Trust
The UNV Online Volunteering service connects volunteers with organizations working for sustainable human development.,UNV Online Volunteering
"In-volve is a dynamic, growing organisation. We are always on the look out for people and organisations that want to help us achieve our aims.",In-volve
"   Rising Stars Volunteering is an initiative by ""Rising Stars"" to support the causes related to Education, Social Service, Poverty, Economic Development, Health & Environment.  ","Rising Stars Volunteering, India"
Gap year programme for school leavers,Friends of Israel Educational Foundation
"To promote and encourage people with and without physical disabilities to come together on equal terms, to achieve complete inclusion within the wider community and to make more of life together",PHAB SW
"RWEYOWA is a community based organization in Uganda, with a mission of curbing the further spread of HIV/AIDS and improving the livelihoods of those affected/infected with the HIV/AIDS in the community","Rescue Widows, Elderly, Youth and Orphans with AIDS (RWEYOWA)"
"   Our children arrive to us with nothing, no parents, no support ... nothing.  ",Radient Futures
Healing the Children could not exist without volunteers.,Healing the Children
Intern Latin America provides first class international students with the chance to rapidly improve their Spanish and gain invaluable experiences at the same time.,Intern Latin America
"Trekventurer provides fantastic opportunities for those with a passion for trekking and adventure, and who are interested in supporting sustainable development projects in the regions where the treks take place.",Trek Venturer
"There are many, many types of voluntary service that you may want to get involved in",Jewish Lads & Girls Brigade (JLGB)
   Every person has a right to develop their full human potential. Yet in Africa many find it difficult even to maintain their basic existence.  ,Amurtel
"As a Vita Volunteer, by simply giving of your time and effort you will make a difference to the families and communities we work with in Ethiopia and Eritrea.",Vita
Norfolk Wildlife Trust was established in 1926. We are the oldest of a national network of 47 Wildlife Trusts around the country working to protect and enhance our wildlife and wild places.,Norfolk Wildlife Trust
"Volunteer Nepal, National Group is a community based, non profit organization, without any political or religious affiliation and registered in the Chief District  Administration Office and the Social Welfare Council, Kathmandu.   ",Volnepal
"DAD International UK-Romania. We believe that by offering these programmes to children and volunteers we are facilitating an area of education, which has gone largely unnoticed up till now. ",DAD International
A Well Earth supports its Youth Community Based Organizations & Entrepreneurship to support Self Sustaining Self Reinforcing KID SAFE Native Indigenous Ancestral Communities of Well Being.,A Well Earth
Kirinyaga Sports Foundation Volunteer,Kirinyaga Sports Foundation
You will be required to live and work in a Catholic residential community with other volunteers for one academic year (September to July). The work is very diverse and hands-on.,Savio House
"Mt. Elgon Self-Help Community Project is a registered Community Based Organization supporting orphans and other vulnerable children in the context of their families and communities in Manafwa  District, Eastern Uganda.  ",Mt. Elgon Self-Help Community Project
Butterwick provides specialist palliative care to children and adults with life limiting illnesses and provides that care in a friendly and homely environment.,Butterwick
Friends of Women Foundation is a non profit organization which is working to empower women and the youth in Ghana to assist in reducing poverty.,Friends of Women Foundation
Since 1906 Urban Saints (formerly known as Crusaders) has been reaching out to children and young people with the good news of Jesus Christ. ,Urban Saints 
